Start,End,PrimeCount
1,20,8
21,40,4
41,60,5
61,80,5
81,100,3
101,120,5
121,140,4
141,160,3
161,180,4
181,200,5
201,220,1
221,240,5
241,260,3
261,280,4
281,300,3
301,320,4
321,340,2
341,360,4
361,380,3
381,400,3
401,420,3
421,440,4
441,460,3
461,480,4
481,500,3
501,520,2
521,540,2
541,560,3
561,580,4
581,600,3
601,620,5
621,640,1
641,660,5
661,680,3
681,700,2
701,720,3
721,740,3
741,760,3
761,780,3
781,800,2
801,820,2
821,840,5
841,860,3
861,880,2
881,900,3
901,920,3
921,940,2
941,960,3
961,980,3
981,1000,3
